FECHA;CoDIGO DE USUARIO;PRODUCTO/S  VENDIDOS CALLE 1 [PRODUCTO/S VENDIDOS ];UBICACION 1;MONTO POR CALLE 1
9/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle 10 de Agosto;$30 a $35 dolares
10/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle 10 de Agosto;$10 a $15 dolares
11/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle 10 de Agosto;$25 a $30 dolares
5/6/2023;1.2;PERAS, MANZANAS, BANANA;Av. Morales;$5 a $10 dolares
6/6/2023;1.2;PERAS, MANZANAS;Av. Morales;$5 a $10 dolares
7/6/2023;1.2;PERAS, MANZANAS, FRESAS, BANANA, SANDIA, PINA;Av. Morales;$15 a $20 dolares
8/6/2023;1.2;MANZANAS, BANANA, SANDIA;Av. Morales;$10 a $15 dolares
9/6/2023;1.2;PERAS, MANZANAS;Av. Morales;$5 a $10 dolares
10/6/2023;1.2;MANZANAS, FRESAS, SANDIA;Av. Morales;$10 a $15 dolares
11/6/2023;1.2;MANZANAS, SANDIA;Av. Morales;$10 a $15 dolares
5/6/2023;2.1;PERAS, MANZANAS, FRESAS, BANANA, SANDIA, UVAS;Av.  Chile;$30 a $35 dolares
6/6/2023;2.1;PERAS, MANZANAS, FRESAS, UVAS;Av.  Chile;$15 a $20 dolares
7/6/2023;2.1;PERAS, MANZANAS, FRESAS, BANANA, SANDIA, PINA, MELoN, UVAS;Av.  Chile;Mas de $40 dolares
8/6/2023;2.1;PERAS, MANZANAS, FRESAS, UVAS;Av.  Chile;$20 a $25 dolares
9/6/2023;2.1;PERAS, MANZANAS, FRESAS, SANDIA, UVAS;Av.  Chile;$20 a $25 dolares
10/6/2023;2.1;PERAS, MANZANAS, FRESAS, UVAS;Av.  Chile;$30 a $35 dolares
11/6/2023;2.1;MANZANAS, FRESAS, MELoN, UVAS;Av.  Chile;$30 a $35 dolares
5/6/2023;3.3;MANZANAS, FRESAS, BANANA, SANDIA, PINA;Calle Octava;$10 a $15 dolares
6/6/2023;3.3;PERAS, MANZANAS, FRESAS, SANDIA;Calle Octava;$5 a $10 dolares
7/6/2023;3.3;FRESAS, UVAS;Calle Octava;$5 a $10 dolares
8/6/2023;3.3;PERAS, MANZANAS, FRESAS, BANANA, SANDIA;Calle Octava;$15 a $20 dolares
9/6/2023;3.3;PERAS, MANZANAS, BANANA, SANDIA;Calle Octava;$5 a $10 dolares
10/6/2023;3.3;FRESAS, BANANA, SANDIA, UVAS;Calle Octava;$5 a $10 dolares
11/6/2023;3.3;MANZANAS, SANDIA, UVAS;Calle Octava;$5 a $10 dolares
5/6/2023;4.2;MANZANAS, PINA, MELoN, UVAS;Av. America;$10 a $15 dolares
6/6/2023;4.2;FRESAS, UVAS;Av. America;$10 a $15 dolares
7/6/2023;4.2;MANZANAS, BANANA, PINA, MELoN;Av. America;$10 a $15 dolares
8/6/2023;4.2;BANANA, MELoN;Av. America;$5 a $10 dolares
9/6/2023;4.2;FRESAS, UVAS;Av. America;$5 a $10 dolares
10/6/2023;4.2;PERAS, PINA, MELoN, UVAS;Av. America;$10 a $15 dolares
11/6/2023;4.2;FRESAS, BANANA, PINA, MELoN;Av. America;$10 a $15 dolares
5/6/2023;5.2;MANZANAS, FRESAS, BANANA, SANDIA;Av. Paulo Emilio Macias;$10 a $15 dolares
6/6/2023;5.2;PERAS, SANDIA, PINA, MELoN, UVAS;Av. Paulo Emilio Macias;$10 a $15 dolares
7/6/2023;5.2;PERAS, BANANA, SANDIA, PINA, MELoN, UVAS;Av. Paulo Emilio Macias;$15 a $20 dolares
8/6/2023;5.2;FRESAS, SANDIA, PINA, MELoN, UVAS;Av. Paulo Emilio Macias;$10 a $15 dolares
9/6/2023;5.2;PERAS, MANZANAS, PINA, MELoN, UVAS;Av. Paulo Emilio Macias;$15 a $20 dolares
10/6/2023;5.2;PERAS, MANZANAS, FRESAS, PINA, MELoN, UVAS;Av. Paulo Emilio Macias;$15 a $20 dolares
11/6/2023;5.2;PERAS, MANZANAS, SANDIA, PINA, MELoN, UVAS;Av. Paulo Emilio Macias;$15 a $20 dolares
5/6/2023;6.1;PERAS, MANZANAS, FRESAS, UVAS;Av. Ricaurte ;$10 a $15 dolares
6/6/2023;6.1;PERAS, MANZANAS, UVAS;Av. Ricaurte ;$5 a $10 dolares
7/6/2023;6.1;PERAS, MANZANAS, FRESAS;Av. Ricaurte ;$5 a $10 dolares
8/6/2023;6.1;PERAS, MANZANAS, SANDIA, MELoN, UVAS;Av. Ricaurte ;$10 a $15 dolares
9/6/2023;6.1;PERAS, MANZANAS, FRESAS, UVAS;Av. Ricaurte ;$10 a $15 dolares
10/6/2023;6.1;PERAS, MANZANAS, MELoN, UVAS;Av. Ricaurte ;$5 a $10 dolares
11/6/2023;6.1;PERAS, MANZANAS, FRESAS;Av. Ricaurte ;$5 a $10 dolares
5/6/2023;7.2;PERAS, MANZANAS, FRESAS, PINA, UVAS;Calle Espejo;$15 a $20 dolares
6/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle Espejo;$15 a $20 dolares
7/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle Espejo;$5 a $10 dolares
8/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle Espejo;$5 a $10 dolares
9/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle Espejo;$20 a $25 dolares
10/6/2023;7.2;PERAS, MANZANAS, FRESAS, BANANA, PINA, UVAS;Calle Espejo;$10 a $15 dolares
11/6/2023;7.2;PERAS, MANZANAS, FRESAS, PINA, UVAS;Calle Espejo;$15 a $20 dolares
5/6/2023;1.2;MANZANAS, FRESAS;Calle ColoN;$5 a $10 dolares
6/6/2023;1.2;MANZANAS, FRESAS;Calle ColoN;$5 a $10 dolares
7/6/2023;1.2;MANZANAS, BANANA;Calle ColoN;$5 a $10 dolares
8/6/2023;1.2;PERAS, MANZANAS, BANANA, SANDIA;Calle ColoN;$10 a $15 dolares
9/6/2023;1.2;MANZANAS, SANDIA;Calle ColoN;$5 a $10 dolares
10/6/2023;1.2;MANZANAS, BANANA;Calle ColoN;$5 a $10 dolares
11/6/2023;1.2;MANZANAS;Calle ColoN;$5 a $10 dolares
5/6/2023;2.1;BANANA;Cordova;$15 a $20 dolares
6/6/2023;2.1;SANDIA, PINA, MELoN;Cordova;$25 a $30 dolares
7/6/2023;2.1;PERAS, MANZANAS, FRESAS, UVAS;Cordova;$35 a $40 dolares
8/6/2023;2.1;SANDIA, PINA, MELoN;Cordova;$30 a $35 dolares
9/6/2023;2.1;BANANA;Cordova;$25 a $30 dolares
10/6/2023;2.1;SANDIA, PINA, MELoN;Cordova;$30 a $35 dolares
11/6/2023;2.1;BANANA, SANDIA, PINA, MELoN;Cordova;$30 a $35 dolares
5/6/2023;3.3;PERAS, MANZANAS, FRESAS, BANANA, SANDIA, PINA, MELoN, UVAS;Cesar Chavez CaNarte;$15 a $20 dolares
6/6/2023;3.3;PERAS, FRESAS, SANDIA, MELoN, UVAS;Cesar Chavez CaNarte;$5 a $10 dolares
7/6/2023;3.3;MANZANAS, FRESAS, BANANA;Cesar Chavez CaNarte;$5 a $10 dolares
8/6/2023;3.3;PERAS, FRESAS, BANANA, PINA, UVAS;Cesar Chavez CaNarte;$5 a $10 dolares
9/6/2023;3.3;FRESAS, BANANA, PINA;Cesar Chavez CaNarte;$5 a $10 dolares
10/6/2023;3.3;PERAS, SANDIA, PINA, MELoN, UVAS;Cesar Chavez CaNarte;$5 a $10 dolares
11/6/2023;3.3;FRESAS, SANDIA;Cesar Chavez CaNarte;$5 a $10 dolares
5/6/2023;4.2;PERAS, SANDIA, MELoN;Av. Chile;$5 a $10 dolares
6/6/2023;4.2;MANZANAS, BANANA, SANDIA, MELoN;Av. Chile;$15 a $20 dolares
7/6/2023;4.2;PERAS, SANDIA, PINA, MELoN, UVAS;Av. Chile;$15 a $20 dolares
8/6/2023;4.2;BANANA, PINA, MELoN;Av. Chile;$10 a $15 dolares
9/6/2023;4.2;MANZANAS, SANDIA, PINA, MELoN;Av. Chile;$15 a $20 dolares
10/6/2023;4.2;MANZANAS, FRESAS, BANANA, SANDIA;Av. Chile;$10 a $15 dolares
11/6/2023;4.2;PERAS, BANANA, SANDIA, PINA, UVAS;Av. Chile;$10 a $15 dolares
5/6/2023;5.2;PERAS, MANZANAS, PINA, MELoN, UVAS;Calle CoNstaNtiNo MeNdoza Moreira;$10 a $15 dolares
6/6/2023;5.2;PERAS, MANZANAS, FRESAS;Calle CoNstaNtiNo MeNdoza Moreira;$10 a $15 dolares
