Country Name;PIB per cápita-2015;PIB per cápita -2020;PIB per cápita-2022;Crecimiento de la población -2015;Crecimiento de la población -2020;Crecimiento de la población-2022;Desempleo-2015;Desempleo-2020;Desempleo-2022;Inflación, precios al consumidor (% anual)-2015;Inflación, precios al consumidor-2020;Inflación, precios al consumidor-2022
Costa Rica;6163519,365;7123657,642;8541430,283;1,046343404;0,755771068;0,520031292;8,42;16,43;11,453;0,801982005;0,724911478;8,274774902
Côte d'Ivoire;1147885,931;1352091,748;1550923,726;2,580767289;2,508618203;2,452703201;2,697;2,66;2,637;1,251499548;2,425006568;5,276167243
Croacia;10879,6311;12464,17768;17485,64503;-0,824099164;-0,433210221;-0,646581847;16,18;7,51;6,746;-0,464499005;0,154811375;10,78058068
Cuba;7683,757891;9499,590202;;0,069407446;-0,141475202;-0,393269983;2,4;1,4;1,386;;;
Dinamarca;358293,712;398517,978;473982,8143;0,70642385;0,291641177;0,787502465;6,28;5,64;4,172;0,452034154;0,420711974;7,696566999
Republica de Djibouti;428185,3206;518589,217;557353,1314;1,721247739;1,493639579;1,373715349;26,337;28,048;27,929;-0,847389734;1,777407838;5,17980848
Dominica;20854,91451;18909,36871;22719,2488;0,91263243;0,790672283;0,447816441;;;;-0,843826985;-0,727116413;
Ecuador;6130,586676;5645,19929;6391,282484;1,479835238;1,401904626;1,135599752;3,62;6,11;3,955;3,966646233;-0,338872393;3,466169722
Egipto;25008,23776;57252,05721;70659,4533;2,205259807;1,733129572;1,56907383;13,052;7,939;6,959;10,37049034;5,04493289;13,89566098
El Salvador;3761,51368;3961,726633;5127,321668;0,346286118;0,19906237;0,351368234;4;5,02;3,822;-0,731384487;-0,371590212;7,198616156
Emiratos Árabes Unidos;152501,0726;138193,1421;197425,7528;0,911950036;0,817694386;0,808075151;1,763;4,29;2,754;4,069966084;-2,079403179;4,827888596
Eritrea;;;;0,497672572;1,617399943;1,74475946;5,797;7,28;6,618;;;
Eslovenia;18828,23229;22365,02191;27973,44945;0,075190689;0,669754656;0,030971272;8,96;4,97;4,18;-0,525552286;-0,054856816;8,833698867
España;23212,31348;23603,36831;27871,61719;-0,077588862;0,488502132;0,419409972;22,06;15,53;13,009;-0,50036571;-0,322753017;8,390576341
Estados Unidos;56762,72945;63528,6343;76398,59174;0,736217309;0,9643479;0,377564531;5,28;8,05;3,611;0,118627136;1,233584396;8,002799821
Estonia;15684,39426;20657,78678;26905,33757;0,06555253;0,197559185;1,034205877;6,41;6,96;5,851;-0,492326007;-0,444531098;19,39826341
Eswatini;45673,9607;55552,60241;66095,73752;0,714313722;0,939644436;0,785236419;23,317;25,08;24,389;4,951244937;;
Etiopía;12666,51153;28797,00287;49907,13076;2,695393167;2,654859156;2,542089203;2,573;4,126;4,018;9,56889956;20,35634686;
Rusia;567513,625;735069,25;1050908;0,192557947;-0,230950389;0,07417989;5,57;5,59;;15,53440505;3,381659372;
Fiji;10708,79884;10549,29706;11704,12892;0,178965106;0,21284622;0,55609146;4,286;4,794;4,334;1,374885426;-2,595243259;4,520192664
Filipinas;135338,9567;160009,0671;190591,0685;1,669830021;1,626632905;1,46331573;3,07;2,52;2,238;0,674192537;2,393162393;5,821158112
Finlandia;38577,2067;43048,40382;47990,779;0,329383886;0,143641197;0,285874176;9,38;7,76;6,801;-0,20792884;0,290554556;7,123507733
Francia;33035,14778;34193,15004;38900,23296;0,35556924;0,271350508;0,274205279;10,35;8,01;7,445;0,037514381;0,476498853;5,222367484
Gabón;4191959,724;3844962,094;5501777,218;3,086916384;2,195637043;2,021687102;20,601;21,726;21,469;-0,338795189;1,352761107;4,231247983
Gambia;25999,82407;36258,73753;44678,92913;2,886819384;2,56215325;2,472147488;6,814;5,096;4,78;6,808454946;5,931276366;11,51311984
Georgia;9109,392163;13234,08399;19327,7191;0,157481405;0,068656249;0,104889951;16,51;11,73;11,311;4,003578207;5,20246489;11,89816542
Ghana;6356,760308;12179,48568;18379,0523;2,364269759;2,066268801;1,938982944;6,81;3,774;3,867;17,1499695;9,887289563;31,2558951
Granada;22624,97899;22781,34931;27043,76345;0,850810359;0,762219229;0,662275264;;;;-0,515448031;-0,740732597;
Grecia;16298,93448;15460,52133;19687,64924;-0,658861361;-0,214592107;-0,704367995;24,9;16,31;12,162;-1,735888048;-1,247983556;9,645259813
Guatemala;30578,14664;35596,01316;42407,75542;1,691465093;1,519987854;1,439868495;2,51;3,359;2,569;2,388720328;3,214440622;6,885128233
Guinea;5662236,417;10269639,81;13316375,18;2,549276719;2,512250121;2,390914134;4,942;5,945;5,749;11,7800825;10,60162034;10,493041
Guinea Ecuatorial;5787361,736;3642077,405;4399668,519;3,920785477;2,732269498;2,44420929;8,205;9,295;8,689;1,676630853;4,766695239;4,786717047
Guinea-Bissau;346424,6404;408814,6409;483930,8436;2,582649543;2,276453357;2,152839304;3,142;3,605;3,583;1,476720489;1,140009394;9,393838775
Guyana;1170530,746;1430951,001;3959371,256;0,520003881;-0,194366444;0,515592544;13,252;15,589;12,358;-1,001734328;0,993337023;
Haití;68257,43578;128231,4885;187157,8442;1,439893507;1,302919959;1,193341956;13,888;15,085;14,836;6,731840697;22,79631136;33,98393195
Honduras;49535,20387;57868,73295;74441,29414;1,809362407;1,622836377;1,492118559;6,15;10,68;7,099;3,15783118;3,46841178;9,089639115
Hong Kong;328923,5116;357678,5189;383611,1678;0,851197911;-0,358932662;-0,907914524;3,31;5,81;5,058;2,990848193;0,250962021;1,881367072
