Country Name;Country Code;Continent;2022 Population;2020 Population;2015 Population;2010 Population;2000 Population;1990 Population;1980 Population;1970 Population;Area (kmÂ²);Density (per kmÂ²);Growth Rate;World Population Percentage;Indicator Name;Indicator Code;1970;1980;1990;2000;2010;2015;2020;2022
Tanzanía;TZA;Africa;65497748;61704518;52542823;45110527;34463704;26206012;19297659;13618192;945087;69,3034;1,03;0,82;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;426.155.396.960.681;160.420.802.864.729;362.505.034.269.054;267.420.414.473.401;-102.649.097.336.123;
Uganda;UGA;Africa;47249585;44404611;37477356;32341728;24020697;17586630;13284026;10317212;241550;195,61;1,0304;0,59;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;309.533.287.365.606;-0.0417874225673103;260.254.456.201.481;198.592.377.271.353;-0.423316497344004;
Ucrania;UKR;Europa;39701739;43909666;44982564;45683020;48879755;51589817;49973920;47279086;603500;65,7858;0,912;0,5;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;-655.892.790.804.457;697.135.971.117.342;45.063.448.241.537;-944.383.219.053.168;-310.165.858.921.107;
Uruguay;URY;América del Sur;3422794;3429086;3402818;3352651;3292224;3117012;2953750;2790265;181034;18,9069;0,999;0,04;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;173.511.605.170.546;537.681.201.475.841;-0.317980081088734;-232.495.454.551.433;753.025.568.537.589;0.0416798842422565;-614.001.059.512.776;
Estados Unidos;USA;Norteamérica;338289857;335942003;324607776;311182845;282398554;248083732;223140018;200328340;9372610;36,0935;1,0038;4,24;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;-143.845.053.330.176;-120.929.826.319.077;0.74148609960973;292.544.098.347.776;186.029.167.805.893;195.300.411.790.625;-369.792.209.570.822;
Uzbekistán;UZB;Asia;34627652;33526656;30949417;28614227;24925554;20579100;15947129;12011361;447400;77,3975;1,016;0,43;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;-0.416633675410012;240.808.172.418.723;460.233.039.367.293;536.481.697.227.092;-0.0534360058478711;
San Vicente y las Granadinas;VCT;Norteamérica;103948;104632;106482;109308;113813;112487;107480;98459;389;267,2185;0,9963;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;924.654.189.799.712;187.274.676.642.635;399.456.527.918.332;180.156.433.702.805;-400.552.748.187.661;320.029.548.954.575;-504.839.908.499.085;
Venezuela;VEN;América del Sur;28301696;28490453;30529716;28715022;24427729;19750579;15210443;11355475;916445;30,882;1,0036;0,35;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;444.758.785.900.132;-707.256.372.984.051;390.584.744.788.616;173.114.510.029.852;-281.689.903.503.258;;;
Islas Vírgenes Británicas;VGB;Norteamérica;31305;30910;29366;27556;20104;15617;11109;9581;151;207,3179;1,0059;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;;;;;
Islas Vírgenes (EE.UU.);VIR;Norteamérica;99465;100442;102803;106142;108185;100685;96640;63446;347;286,6427;0,9937;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;;0.640017045957947;-0.26792231561096;-179.809.079.379.379;
Viet Nam;VNM;Asia;98186856;96648685;92191398;87411012;79001142;66912613;52968270;41928849;331212;296,4472;1,0074;1,23;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;282.926.252.371.433;560.127.927.158.793;529.328.634.413.302;587.786.159.372.139;193.735.534.204.778;
Vanuatu;VUT;Oceania;326740;311685;276438;245453;192074;150882;118156;87019;12189;26,8061;1,0238;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;-135.084.067.241.696;895.590.456.155.684;336.484.277.457.321;-111.900.599.670.747;-199.743.087.331.125;-760.620.937.156.634;
Samoa;WSM;Oceania;222382;214929;203571;194672;184008;168186;164905;142771;2842;78,2484;1,0165;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;-45.919.381.723.015;40.667.186.560.092;530.918.106.235.407;292.496.204.784.439;-447.168.519.860.817;
Yemen;YEM;Asia;33696614;32284046;28516545;24743946;18628700;13375121;9204938;6843607;527968;63,8232;1,0217;0,42;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;0.874332587488141;0.837999511386684;-295.538.929.742.692;;
Sudáfrica;ZAF;Africa;59893885;58801927;55876504;51784921;46813266;39877570;29463549;22368306;1221037;49,0517;1,0084;0,75;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;212.393.691.842.109;384.670.140.381.662;-333.962.118.357.752;320.151.044.858.625;181.773.569.736.623;-0.75792811406113;-748.109.276.123.239;
Zambia;ZMB;Africa;20017675;18927715;16248230;13792086;9891136;7686401;5720438;4281671;752612;26,5976;1,028;0,25;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;179.481.939.274.484;0.0280771106595239;-300.744.689.939.025;106.229.169.242.992;650.755.325.743.155;-0.312861216401132;-559.573.305.992.129;
Zimbabwe;ZWE;Africa;16320537;15669666;14154937;12839771;11834676;10113893;7049926;5202918;390757;41,7665;1,0204;0,2;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;18.825.358.952.337;802.453.300.104.263;415.834.043.459.395;-402.757.591.112.872;199.389.815.094.808;-0.132759721781923;-967.040.477.679.424;
