Country Name;Country Code;Continent;2022 Population;2020 Population;2015 Population;2010 Population;2000 Population;1990 Population;1980 Population;1970 Population;Area (kmÂ²);Density (per kmÂ²);Growth Rate;World Population Percentage;Indicator Name;Indicator Code;1970;1980;1990;2000;2010;2015;2020;2022
Camerún;CMR;Africa;27914536;26491087;23012646;19878036;15091594;11430520;8519891;6452787;475442;58,7128;1,0263;0,35;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;0.43112507478267;-514.701.891.546.004;-890.923.918.259.573;113.112.675.163.163;0.00658279199097933;239.279.741.734.246;-242.243.441.821.918;
Congo;COD;Africa;99010212;92853164;78656904;66391257;48616317;35987541;26708686;20151733;2344858;42,2244;1,0325;1,24;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;62.006.555.081.793;-301.098.559.312.662;-431.613.292.496.826;-696.953.209.498.866;-0.378462199545467;576.218.155.230.173;111.096.628.045.726;283.237.932.472.882
Congo;COG;Africa;5970424;5702174;5064386;4437884;3134030;2385435;1829256;1396989;342000;17,4574;1,0231;0,07;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;440.948.946.960.498;729.476.772.684.934;-0.312914730574448;-514.928.871.972.042;724.158.192.131.455;419.608.784.237.961;-241.258.230.897.023;-443.948.919.173.256
Colombia;COL;América del Sur;51874024;50930662;47119728;44816108;39215135;32601393;26176195;20905254;1141748;45,4339;1,0069;0,65;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;36.015.842.951.613;17.139.442.872.063;211.239.850.086.568;127.108.262.785.821;332.373.450.571.197;19.906.164.936.335;-840.464.288.916.041;
Comoras;COM;Africa;836774;806166;730216;656024;536758;431119;328328;242351;1862;449,3953;1,0184;0,01;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;227.942.015.842.201;871.768.983.840.167;163.727.042.363.348;-101.406.895.756.402;-207.486.139.638.723;
Cabo Verde;CPV;Africa;593149;582640;552166;521212;458251;364563;317234;287262;4033;147,0739;1,0089;0,01;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;-107.909.646.125.555;121.340.983.835.949;0.381673315412286;-0.10717047848037;-156.039.204.191.033;
Costa Rica;CRI;Norteamérica;5180829;5123105;4895242;4622252;3979193;3158253;2414303;1855697;51100;101,3861;1,0052;0,06;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;462.226.350.734.645;-196.251.411.217.747;0.954542164963982;183.887.356.325.596;401.263.887.434.433;257.317.861.066.939;-477.333.027.975.166;
Cuba;CUB;Norteamérica;11212191;11300698;11339894;11290417;11105791;10626680;9809107;8869636;109884;102,0366;0,9961;0,14;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;-51.830.919.324.148;-385.721.547.633.095;557.432.164.122.072;232.476.685.109.735;436.567.926.239.748;-108.222.657.978.536;
Curacao;CUW;Norteamérica;191163;189288;169572;159380;141424;155446;156851;150385;444;430,5473;1,0043;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;;-117.626.862.745.298;-10.237.908.333.789;-171.256.716.583.123;
Islas Caimán;CYM;Norteamérica;68706;67311;60911;54074;39658;26027;17100;10533;264;260,25;1,0084;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;;-536.390.587.086.157;0.550605418987857;-733.318.541.308.731;
Chipre;CYP;Europa;1251488;1237537;1187280;1129686;948237;788500;679327;640804;9251;135,2814;1,0059;0,02;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;461.063.906.639.076;513.997.141.615.243;484.415.598.419.497;-0.35676942021901;400.942.677.175.865;-545.031.779.372.218;
República Checa;CZE;Europa;10493986;10530953;10523798;10464749;10234710;10301192;10270060;9795744;78865;133,0627;0,9984;0,13;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;429.307.146.515.178;213.688.048.446.924;518.140.265.379.816;-573.252.689.432.169;
Alemania;DEU;Europa;83369843;83328988;82073226;81325090;81551677;79370196;77786703;78294583;357114;233,4544;0,9995;1,05;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;119.869.390.758.107;435.163.905.422.439;277.322.125.091.402;433.960.677.706.354;0.617105353219898;-377.542.971.403.229;
Djibouti;DJI;Africa;1120849;1090156;1006259;919199;742033;577173;324121;144379;23200;48,3125;1,0138;0,01;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;;;569.115.554.959.427;-0.298338539372381;
Dominica;DMA;Norteamérica;72737;71995;70007;68755;68346;69481;72978;68895;751;96,8535;1,0045;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;130.569.131.456.072;616.749.039.391.011;286.729.855.284.918;0.719489528083983;-361.516.846.835.069;-172.616.934.692.792;
Dinamarca;DNK;Europa;5882261;5825641;5677796;5550849;5340655;5144623;5125392;4922963;43094;136,4984;1,0048;0,07;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;0.836281145615956;-0.603929077550063;131.052.516.322.782;340.068.454.610.739;141.948.663.073.603;162.216.625.804.921;-228.001.526.350.688;
República Dominicana;DOM;Norteamérica;11228821;10999664;10405832;9775755;8540791;7129004;5755800;4475871;48671;230,7087;1,01;0,14;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;14.979.925.057.649;553.136.646.416.338;-742.998.327.819.636;307.584.227.693.847;692.448.431.266.428;565.574.224.309.763;-771.905.867.915.002;
Argelia;DZA;Africa;44903225;43451666;39543154;35856344;30774621;25518074;18739378;13795915;2381741;18,8531;1,0164;0,56;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;64.567.191.719.165;-228.805.663.474.552;-168.292.794.980.542;235.458.026.894.383;169.217.009.969.687;16.466.572.591.571;-672.994.165.075.228;
Ecuador;ECU;América del Sur;18001000;17588595;16195902;14989585;12626507;10449837;8135845;6172215;276841;65,0229;1,0114;0,23;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;383.872.150.476.874;0.989018809230117;130.216.416.418.996;-0.62524091265476;182.064.769.346.837;-137.151.925.896.104;-907.131.766.962.168;
Egipto;EGY;Africa;110990103;107465134;97723799;87252413;71371371;57214630;43748556;34781986;1002450;110,7188;1,0158;1,39;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;282.891.950.931.213;195.849.454.242.783;21.600.286.426.134;383.570.651.336.944;264.591.866.475.297;0.531824068547877;368.086.224.225.046;162.731.869.155.992
Eritrea;ERI;Africa;3684032;3555868;3340006;3147727;2392880;2149960;1657982;1272748;117600;31,3268;1,0176;0,05;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;-461.549.158.904.921;0.121591639500295;;;
España;ESP;Europa;47558630;47363807;46431342;46572772;40741651;38889889;37491666;33792617;505992;93,9909;1,0015;0,6;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;313.732.279.396.164;139.131.541.840.831;36.757.679.509.781;47.764.007.853.099;-0.297178903863639;391.911.726.500.582;-117.575.591.274.843;
Estonia;EST;Europa;1326062;1329444;1314657;1331535;1396877;1570674;1476983;1361999;45227;29,3201;0,998;0,02;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;955.641.846.932.483;267.816.403.908.816;178.627.469.426.176;-0.747277944180098;
Etiopía;ETH;Africa;123379924;117190911;102471895;89237791;67031867;47878073;34945469;28308246;1104300;111,7268;1,0257;1,55;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;-0.882676687132843;298.069.409.750.323;94.198.734.285.809;745.669.509.715.687;328.084.798.420.211;
Finlandia;FIN;Europa;5540745;5529468;5479461;5363271;5176209;4986545;4779418;4606621;338424;16,3722;1,0009;0,07;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;521.143.814.151.846;506.171.469.493.218;0.224909953309819;555.399.785.284.234;271.496.673.450.685;0.213029419665261;-234.551.224.067.012;
Fiji;FJI;Oceania;929766;920422;917200;905169;832509;780430;644582;527634;18272;50,8847;1,0056;0,01;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;104.210.341.316.003;-400.359.973.563.627;475.261.753.344.111;-277.296.232.923.001;252.404.964.362.454;431.434.596.112.975;-171.767.090.067.782;
Francia;FRA;Europa;64626628;64480053;63809769;62444567;58665453;56412897;53713830;50523586;551695;117,1419;1,0015;0,81;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;518.259.420.021.477;10.270.407.842.842;243.024.696.521.512;321.238.484.755.931;144.824.526.229.692;0.754024352327519;-80.344.742.951.426;
Islas Feroe;FRO;Europa;53090;52415;48816;48410;45660;47479;43054;38416;1393;38,112;1,0038;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;;;;;
Micronesia (Estados Federados de);FSM;Oceania;114164;112106;109462;107588;111709;98603;76299;58989;702;162,6268;1,0091;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;183.976.913.483.599;467.436.638.413.858;25.255.221.377.722;420.325.118.906.544;-24.024.599.418.638;
Gabón;GAB;Africa;2388992;2292573;2028517;1711105;1272935;983028;749078;597192;267668;8,9252;1,0204;0,03;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;639.289.618.316.003;-0.0332087215594044;235.448.195.283.419;-436.268.695.523.565;348.729.414.610.895;0.721232639266972;-396.955.863.426.069;
Reino Unido;GBR;Europa;67508936;67059474;65224364;62760039;58850043;57210442;56326328;55650166;242900;277,9289;1,0034;0,85;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;641.576.308.283.678;-214.838.722.555.611;0.433081157235151;372.139.315.610.332;163.027.404.455.211;158.497.938.949.145;-11.355.366.837.142;
Georgia;GEO;Asia;3744385;3765912;3771132;3836831;4265172;5391636;5145843;4800426;69700;53,7214;0,9964;0,05;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;109.750.843.274.234;369.849.695.765.365;-147.651.573.236.061;383.810.006.924.914;702.738.532.732.053;286.009.424.289.855;-682.443.263.205.032;
Ghana;GHA;Africa;33475870;32180401;28870939;25574719;19665502;15446982;11865246;8861895;238533;140,3406;1,0196;0,42;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;68.504.714.311.137;-248.837.679.552.632;0.689672245346642;112.293.234.445.129;526.723.802.894.486;-0.265332917264004;-154.163.654.823.812;
Gibraltar;GIB;Europa;32649;32709;32520;31262;27741;27317;28734;26685;6;5.441,50;0,9994;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;;;;;
Guinea;GIN;Africa;13859341;13205153;11625998;10270728;8336967;6354145;4972609;4222374;245857;56,3716;1,0242;0,17;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;0.745224866297846;0.510408914359232;226.816.803.790.864;121.255.318.824.562;231.724.101.200.501;
Gambia;GMB;Africa;2705992;2573995;2253133;1937275;1437539;1040616;718586;528731;10689;253,1567;1,025;0,03;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;313.324.702.070.494;28.049.213.152.017;-0.50976960963574;248.810.279.380.524;267.435.327.588.794;109.705.048.941.071;-195.308.366.905.797;
Guinea-Bissau;GNB;Africa;2105566;2015828;1788919;1567220;1230849;973551;831462;591663;36125;58,2856;1,0218;0,03;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;-169.497.422.201.965;443.126.029.039.014;33.391.741.443.949;193.939.352.149.282;342.810.490.470.696;-459.671.995.748.523;
Guinea Ecuatorial;GNQ;Africa;1674908;1596049;1346973;1094524;684977;465549;282509;316955;28051;59,7094;1,0247;0,02;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;-53.731.729.785.259;130.453.344.731.756;-131.544.282.595.757;-126.046.850.421.249;-682.244.215.429.829;
Grecia;GRC;Europa;10384971;10512232;10806641;11033783;11038109;10302255;9307148;8544873;131990;78,68;0,9942;0,13;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;831.778.786.609.661;-0.306899530995054;-105.223.289.834.684;349.556.356.069.931;-559.995.935.690.777;0.463652786270188;-880.856.383.527.522;
Granada;GRD;Norteamérica;125438;123663;118980;114039;107432;99047;94838;98794;344;364,6453;1,0066;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;-0.111072590144616;419.848.559.719.249;429.337.358.587.702;-120.046.646.888.024;554.296.646.256.527;-144.107.993.999.651;
Groenlandia;GRL;Norteamérica;56466;56026;55895;56351;56184;55599;50106;45434;2166086;0,0261;1,004;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;737.708.985.775.325;-121.958.664.392.799;691.102.464.537.168;0.69531455570224;-22.149.188.822.392;0.103713033940792;
Guatemala;GTM;Norteamérica;17843908;17362718;16001107;14543121;11735894;9084780;6987767;5453208;108889;163,8725;1,0134;0,22;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;309.004.634.119.665;120.354.500.988.998;0.32144959608857;111.752.913.241.804;10.118.948.603.419;234.629.514.622.338;-324.596.617.966.175;
Guam;GUM;Oceania;171774;169231;167978;164905;160188;138263;110286;88300;549;312,8852;1,0073;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;;206.170.827.793.916;0.564587367873969;-11.710.000.845.094;
Guyana;GUY;América del Sur;808726;797202;755031;747932;759051;747116;778176;705261;214969;3,7621;1,0052;0,01;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;287.447.243.721.348;125.095.914.512.434;-231.744.468.211.397;-149.855.866.264.538;46.015.377.876.125;0.165301151500259;437.587.032.467.243;
Hong Kong;HKG;Asia;7488865;7500958;7399838;7132438;6731195;5838574;4978544;3955072;1104;6.783,39;0,9992;0,09;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;957.973.247.358.854;56.231.501.272.443;122.297.978.446.804;153.233.594.717.834;-266.888.170.665.281;204.317.507.254.954;-240.244.270.694.151;731.715.172.741.315
Honduras;HND;Norteamérica;10432860;10121763;9294505;8450933;6656725;5053234;3777990;2782753;112492;92,7431;1,015;0,13;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;0.596515407747944;-24.696.000.611.637;-0.0471084830697635;440.041.232.348.534;159.990.328.102.285;197.813.209.013.502;-10.430.190.244.419;
Croacia;HRV;Europa;4030358;4096868;4254815;4368682;4548434;4873707;4680144;4492638;56594;71,2153;0,9927;0,05;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;388.377.507.022.196;-0.999479719713634;337.066.856.048.698;-81.834.446.417.212;
Haití;HTI;Norteamérica;11584996;11306801;10563757;9842880;8360225;6925331;5646676;4680812;27750;417,4773;1,012;0,15;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;-115.874.756.713.032;527.816.574.117.897;-102.149.742.352.819;-0.955253581437972;-67.274.022.333.787;109.629.919.028.995;-459.456.240.049.191;
Hungría;HUN;Europa;9967308;9750573;9844246;9986825;10202055;10375989;10698679;10315366;93028;107,1431;1,0265;0,12;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;475.094.782.312.509;130.495.875.677.843;395.428.261.265.434;-434.175.477.533.741;
Indonesia;IDN;Asia;275501339;271857970;259091970;244016173;214072421;182159874;148177096;115228394;1904569;144,6529;1,0064;3,45;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;468.054.570.489.529;741.362.868.928.137;533.442.787.463.557;341.271.420.297.167;490.272.857.952.441;371.774.546.908.827;-288.459.144.699.667;
Isla de Man;IMN;Europa;84519;84046;83593;83828;75562;68865;64022;55298;572;147,7605;1,003;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;248.494.605.260.277;405.416.100.563.947;227.383.295.942.414;-0.0247262720913284;;
India;IND;Asia;1417173173;1396387127;1322866505;1240613620;1059633675;870452165;696828385;557501301;3287590;431,0675;1,0068;17,77;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;285.855.823.007.255;43.493.740.925.681;32.978.540.660.614;196.595.243.736.218;70.131.745.803.792;672.106.763.067.042;-748.404.647.330.547;
Irlanda;IRL;Europa;5023109;4946119;4665760;4524585;3768950;3485374;3391387;2937637;70273;71,4799;1,0073;0,06;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;189.987.358.235.338;837.500.627.668.175;795.480.644.953.508;113.042.364.586.033;232.008.710.727.033;50.973.854.012.496;
Irán;IRN;Asia;88550570;87290193;81790841;75373855;65544383;55793629;38520664;28449705;1648195;53,7258;1,0071;1,11;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;123.057.614.853.404;-148.852.620.901.719;309.945.047.972.539;0.39956030455015;-0.357484610351037;301.176.428.733.751;-37.227.071.496.431;396.556.869.056.239
Iraq;IRQ;Asia;44496122;42556984;37757813;31264875;24628858;17658381;13653369;9811347;438317;101,5158;1,0221;0,56;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;0.978935589203346;209.203.100.669.775;558.892.445.741.362;13.085.222.917.312;308.154.255.163.578;191.791.208.865.786;-133.942.758.371.757;
Islandia;ISL;Europa;372899;366669;331060;318333;281462;255019;228263;204468;103000;3,6204;1,0069;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;355.739.104.440.454;-26.928.477.076.311;335.414.533.328.364;-834.212.125.609.098;
Israel;ISR;Asia;9038309;8757489;8007778;7328445;6116958;4803254;3744608;2907307;20770;435,1617;1,0155;0,11;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;583.779.433.480.274;37.557.370.227.461;0.475269154590265;-357.303.741.945.609;
Italia;ITA;Europa;59037474;59500579;60232906;59822450;56966397;56756561;56329482;53324036;301336;195,9191;0,9966;0,74;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;471.342.068.855.478;321.717.014.392.455;190.043.982.743.266;373.994.653.301.939;140.091.534.299.962;0.875477401786128;-859.581.066.827.006;
Jamaica;JAM;Norteamérica;2827377;2820436;2794445;2733896;2612205;2392030;2135546;1859091;10991;257,2447;0,9999;0,04;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;105.890.167.770.796;-697.726.648.788.461;338.745.877.873.892;0.263360853827237;-187.148.268.267.046;0.563876019949532;-102.126.160.636.157;
Jordania;JOR;Asia;11285869;10928721;9494246;6931258;5056174;3480587;2216903;1557374;89342;126,3221;1,0123;0,14;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;723.151.809.472.036;-513.614.661.594.539;207.264.743.541.762;0.0893368418974632;-653.100.726.957.784;-364.133.167.679.211;
Japón;JPN;Asia;123951692;125244761;127250933;128105431;126803861;123686321;117624196;105416839;377930;327,9753;0,9947;1,55;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;128.181.378.734.011;201.041.585.735.973;449.366.120.419.509;259.289.108.650.813;407.922.304.843.274;166.846.511.711.745;-422.555.534.092.724;
Kazajstán;KAZ;Asia;19397998;18979243;17835909;16627837;15236253;16866563;14172710;12265305;2724900;7,1188;1,0105;0,24;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;101.301.164.939.223;57.942.251.111.029;-0.268267117815142;-375.798.345.417.326;
Kenya;KEN;Africa;54027487;51985780;46851488;41517895;30851606;23162269;16187124;11473087;580367;93,0919;1,0193;0,68;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;-82.582.519.998.525;189.650.713.855.221;0.708229893930422;-229.089.371.405.009;505.639.090.011.911;268.331.742.509.996;-223.481.875.031.808;
Kirguistán;KGZ;Asia;6630623;6424874;5914980;5483774;4935182;4394734;3691209;3016384;199951;33,1612;1,0158;0,08;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;368.801.159.071.612;419.482.415.463.276;-165.175.287.429.358;175.886.440.985.292;-101.204.455.334.221;
Camboya;KHM;Asia;16767842;16396860;15417523;14363532;12118841;8910808;6198959;6708525;181035;92,6221;1,0108;0,21;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;7.998.303.815.391;443.014.920.792.102;553.168.468.207.193;-421.365.375.468.523;
Kiribati;KIR;Oceania;131232;126463;116707;107995;88826;75124;60813;57437;811;161,815;1,0183;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;-179.328.383.934.666;-30.969.782.134.118;441.150.395.154.573;-295.053.573.453.981;824.412.516.251.402;-229.442.839.880.886;
Saint Kitts y Nevis;KNA;Norteamérica;47657;47642;47790;47403;45461;40636;43097;44968;261;182,5939;1,0011;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;88.955.509.259.183;579.605.015.615.449;850.330.804.887.986;-0.20323189122665;0.710975959635206;-144.064.956.666.889;
Corea;KOR;Asia;51815810;51844690;50994401;48813042;46788591;44120039;38170501;32601143;100210;517,0722;0,9997;0,65;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;119.974.712.271.352;703.525.933.794.455;601.906.309.701.717;106.774.505.835.378;0.275268980329585;255.621.950.883.497;18.889.146.004.307;432.920.746.061.889
Kuwait;KWT;Asia;4268873;4360444;3908743;2943356;1934901;1674938;1493870;802786;17818;239,5821;1,0044;0,05;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;158.475.020.579.118;-727.291.970.839.997;-319.417.441.775.387;-716.935.688.822.406;
República Democrática Popular Lao;LAO;Asia;7529475;7319399;6787419;6323418;5430853;4314443;3297519;2675283;236800;317.968,00;1,0141;0,09;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;371.421.416.077.379;402.996.036.782.766;692.239.932.405.998;57.534.110.046.946;-0.970941437057107;
Líbano;LBN;Asia;5489739;5662923;6398940;4995800;4320642;3593700;2963702;2381791;10452;525,2334;0,9816;0,07;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;24.131.927.811.189;-0.314587225723855;700.978.277.692.188;-14.938.476.120.184;-197.484.287.129.724;
Liberia;LBR;Africa;5302681;5087584;4612329;4019956;2895224;2209731;1932169;1463563;111369;47,6136;1,021;0,07;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;;306.750.127.385.169;-203.302.983.943.588;-493.320.227.308.388;
Libia;LBY;Africa;6812341;6653942;6192235;6491988;5154790;4236983;2962720;1909177;1759540;3,8717;1,0114;0,09;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;173.247.452.682.546;289.503.853.066.677;-235.543.692.358.982;-248.998.633.770.786;
Santa Lucía;LCA;Norteamérica;179857;179237;175623;170935;159500;142301;121633;103090;616;291,9756;1,0011;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;-396.496.795.591.713;846.668.867.303.275;-0.731568958709232;0.862644867260556;-182.202.530.383.131;-246.405.971.755.268;
Liechtenstein;LIE;Europa;39327;38756;37355;35926;33026;28765;25003;21089;160;245,7937;1,0074;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;31.372.028.489.852;0.802526058390612;193.564.456.435.379;;;;
Sri Lanka;LKA;Asia;21832143;21715079;21336697;20668557;18776371;17204094;14943645;12388769;65610;332,7563;1,0027;0,27;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;159.442.612.541.989;410.743.282.583.911;505.498.096.991.559;53.547.335.503.189;727.905.885.991.009;325.185.230.614.606;-398.314.191.091.222;
Lesotho;LSO;Africa;2305825;2254100;2118521;2022747;1998630;1798997;1407672;1023481;30355;75,962;1,0107;0,03;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;-137.418.457.103.023;-542.233.912.647.951;416.471.039.761.808;364.753.961.738.886;455.966.457.151.122;199.435.847.007.987;-951.095.634.510.244;
Lituania;LTU;Europa;2750055;2820267;2963765;3139019;3599637;3785847;3521206;3210147;65300;42,1142;0,9869;0,03;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;442.747.584.792.048;380.531.559.028.894;298.891.297.061.452;-0.0485203258429578;
Luxemburgo;LUX;Europa;647599;630399;569408;507070;435628;381267;363741;339342;2586;250,425;1,0129;0,01;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;105.471.217.303.264;0.482546852017762;400.981.020.850.895;551.040.939.515.839;188.354.730.979.161;-0.115476305532894;-243.680.926.931.705;
Letonia;LVA;Europa;1850651;1897052;1991955;2101530;2392530;2689391;2572037;2397414;64559;28,666;0,9876;0,02;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;66.993.125.562.973;-244.615.768.269.067;473.918.260.611.251;-151.481.139.773.969;
Región Administrativa Especial de Macao;MAC;Asia;695168;676283;615239;557297;431896;350227;245332;247284;30;23.172,27;1,0125;0,01;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;10.212.310.925.376;-390.583.792.650.266;-133.353.190.792.516;-379.821.439.690.497;-437.193.673.589.049;174.737.261.457.022
Isla de San Martín (parte francesa);MAF;Norteamérica;31791;32552;35020;36458;29610;28127;7776;5802;53;599,8302;0,9951;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;;;;;
Marruecos;MAR;Africa;37457971;36688772;34680458;32464865;28554415;24570814;19678444;15274351;446550;83,883;1,0103;0,47;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;196.705.034.616.413;0.904057710346336;162.140.078.765.916;0.532211791365114;243.465.338.111.595;30.224.298.760.333;-817.274.144.810.004;
Mónaco;MCO;Europa;36469;36922;36760;33178;32465;30329;27076;24270;2;18.234,50;0,9941;0;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;0.776612674604735;179.398.643.349.555;368.298.056.185.719;-0.291094423374886;300.924.966.444.114;-127.011.212.483.661;
República de Moldova;MDA;Europa;3272996;3084847;3277388;3678186;4251573;4480199;4103240;3711140;33846;96,7026;1,0691;0,04;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;23.155.855.702.891;720.697.458.807.822;0.429158952199487;-635.758.327.607.071;
Madagascar;MDG;Africa;29611714;28225177;24850912;21731053;16216431;11882762;8948162;6639751;587041;50,4423;1,0241;0,37;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;227.299.909.787.804;-193.403.855.839.986;0.12577423312969;132.925.274.442.537;-222.352.581.427.488;0.497287783718534;-941.452.977.260.271;
Maldivas;MDV;Asia;523787;514438;435582;361575;282507;224957;164887;123243;300;1.745,96;1,0045;0,01;Crecimiento del PIB per cápita (% anual);NY.GDP.PCAP.KD.ZG;;;;222.989.934.387.169;354.559.594.730.723;-156.640.773.693.456;-347.765.589.179.835;
